subject,block,rt,response,duration,hist,rsi
3,1,0.6653628,0,0.6,R,1.1
3,1,0.7489742,0,0.6,R,2.3
3,1,0.5138327,0,0.4,R,1.4
3,1,0.284906,0,0.2,R,0.9
3,1,0.3448424,1,0.8,R,1.9
3,1,0.5347033,1,0.8,R,1.6
3,1,0.285256,0,0.2,R,1.6
3,1,0.5368061,0,0.5,R,0.9
3,1,0.8746414,0,0.5,R,0.9
3,1,0.4018704,1,0.6,R,2.1
3,1,0.4619974,1,0.5,R,1.8
3,1,0.6443426,1,0.5,R,1.4
3,1,0.6159327,1,0.6,R,2.3
3,1,0.5087412,1,0.7,R,1.3
3,1,1.1726941,1,0.7,R,1.9
3,1,0.3370156,0,0.2,R,1.4
3,1,0.2851669,0,0.5,R,1.1
3,1,0.4412107,0,0.7,R,0.9
3,1,0.6564613,1,0.6,R,1.1
3,1,0.4529324,0,0.2,R,1.1
3,1,0.4647334,1,0.8,R,2.3
3,1,0.3126975,0,0.4,R,0.9
3,1,1.3614791,0,0.6,R,1.1
